sfcode,name,storeid,store_name,area,region,branch,cluster,city
TESTING-0909,FEBRIYANSYAH,1301002106,82184479472-BIAN CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300006489,ABBRAR CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301013155,ACTIVE CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300006168,ADI CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005265,ADI CELL (NEW),Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301002107,ADI CELL 2,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300006496,AHA 1 CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300006491,AHMAD CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005242,AKBAR CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301057417,AKZ CELL ,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300004806,ALFA CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301053968,Almira,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301008225,ANDA CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300004805,ANDI CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301024869,ANDRE LESTIAWAN,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005256,ARA CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005006,ARIF CEL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300006488,ARIF CELL 2,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301049244,ASYA CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300038136,AZAM CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300004859,BELLAA CELLULER,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005266,BERKAH CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005105,BK CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301020270,BUNDA CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301034797,BUNDA CELL2 NEW,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301051145,Bunda ponsel,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005605,DARMAWAN CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301021571,DICY PRIA SANJAYA,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300006605,DINDA CELL 2,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300032635,DINDA CELL 3,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300006117,DINDA PONSEL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1301034971,EDGAR CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005407,EKO CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
TESTING-0909,FEBRIYANSYAH,1300005077,ELBA CELL,Sumatera,Sumbagsel,Lampung,Lampung Barat,Lampung Barat
